DK_kode,DK_art,FAO_kode,GB_art,Latin
ABK,Flire,ABK,White Bream,Blicca bjoerkna
HOR,Hork,ACC,Ruffe,Gymnocephalus cernuus
FJE,Fjeldørred/Rødding,ACH,Arctic char,Salvelinus alpinus
PLK,Panserulk,AFT,Hooknose,Agonus cataphractus
ASJ,Alaskasej,ALK,Alaska Pollack,Theragra chalcogramma
RHJ,Rævehaj,ALV,Thresher Shark,Alopias vulpinus
ANS,Ansjos,ANE,European Anchovy,Engraulis encrasicolus
ANF,Havtaskearter,ANF,Anglerfishes,Lophiidae
STR,Alm. stør,APU,Sturgeon,Acipenser sturio
GUK,Guldlaks,ARU,Great Silver Smelt,Argentina silus
ARG,Strømsildarter,ARY,Argentines,Argentina spp.
TUN,Blåfinnet tun,BFT,Atlantic Bluefin Tuna,Thunnus thynnus
SKT,Skægtorsk,BIB,Pouting,Trisopterus luscus
KVB,Tangkvabbe,BLE,Shanny,Lipophrys pholis
BYL,Byrkelange (Blålange),BLI,Blue Ling,Molva dypterygia
SLH,Slethvarre,BLL,Brill,Scophthalmus rhombus
BMX,"Blåmusling, brutto",BMX,"Blue Mussel, gross",
HAG,Havgalt,BOR,Boarfish,Caproidae
BRB,Alm. havrude,BRB,Black seabream,Spondyliosoma cantharus
SSF,Sort Sabelfisk,BSF,Black Scabbardfish,Aphanopus carbo
BLJ,Blåhaj,BSH,Blue Shark,Prionace glauca
BRU,Brugde Haj,BSK,Basking Shark,Cetorhinus maximus
BAR,Bars,BSS,Bass,Dicentrarchus labrax
LOD,Lodde,CAP,Capelin,Mallotus villosus
HAK,Havkattearter,CAT,Wolffishes (Catfishes),Anarhichas spp
BSP,Blæksprutte,CEP,Cephalopods,Cephalopoda
BRD,Brødding,CHR,Char,Salvelinus spp.
MOE,Molboøsters,CLQ,Ocean Quahaug,Arctica islandica
VEM,Venusmusling,CLV,Venus clams,Veneridae
HAM,Havmus,CMO,Rabbitfish,Chimaera monstrosa
HMS,Hjertemusling,COC,Common Cockle,Cerastoderma edule
TOR,Torsk,COD,Atlantic Cod,Gadus morhua
